im not finding one sorry ||| m'għandekx issib ħaġa waħda
im so sorry im not showing any nightclubs in the west could i look in a different part of town for you ||| l ebda ħaġa li ma turi l ebda ħaġa ta' bil lejl tista' tħares lejn parti differenti tal belt għalik
there arent any swimming pools in south cambridge do you to expand your search to different areas or other types of attractions ||| għad fadal xi għaqda ta' ġugarelli biex tespandi t tiftix tiegħek għal żoni differenti jew għal tipi oħra ta' attrazzjonijiet
im sorry but there isnt a multiple sports place in the centre of town ||| l isport iżda l isport multiplu
i am sorry there are no swimming pools located on the south side would you be interested in visiting a different attraction ||| jiġifieri ma jkun hemm l ebda għaqda ta' ġugarelli li tkun interessata li tisma' attrazzjoni differenti
i dont have anything meeting that criteria can i try something else ||| l i dont għandha kwalunkwe sodisfazzjon li l kriterji jistgħu jippruvaw xi ħaġa
there is none in the centre can we change the location ||| l ebda ħaġa fiċ ċentru ma tista' tbiddel il post
unfortunately i dont have any colleges located in that area can i try a different area or attraction type ||| sfortunatament i dont għandu kwalunkwe kulleġġ li jinsab f'dik iż żona jista' jipprova żona jew tip ta' attrazzjoni differenti
i dont have any sports located in the centre may i try a different area ||| i dont have any sports may i try a different area
sure thing there are none ||| assigura li ma jkun hemm l ebda
im sorry but i have not found any matches ||| l ebda logħob
what part of town there are none in the west ||| liema parti tal belt m'hemm xejn fil Punent
i am sorry i do not have any attractions meeting the criteria you listed is there another type of attraction or area you would like me to search ||| jien ma għandek l ebda attrazzjoni li tissodisfa l kriterji elenkati hawnhekk hemm tip ieħor ta' attrazzjoni jew qasam li tixtieq infittex
there are none in that side can we change location ||| ma hemm xejn f'dak il ġenb li nistgħu nbiddlu l post
i dont have anything specifically listed as entertainment in the centre would you be interested in something else ||| i dont għandek xi ħaġa elenkata speċifikament bħala għandek tkun interessat f'xi ħaġa oħra
there are also no theatres on the east side is there anything else i could help you find attraction wise ||| ma hemm l ebda ċans ieħor li tista' tgħin biex issib attrazzjoni għalik
im sorry but it doesnt look like we have a pool that matches your criteria ||| iżda ma nistgħux inħarsu lejna bħal għandna għaqda li taqbel mal kriterji tiegħek
actually for reasons that arent clear to me there are no entertainment attractions in the centre of cambridge in our listings ||| attwalment għal raġunijiet li jidhru ċari għalija m'hemm l ebda divertiment ta kontradizzjoni fil listi tagħna
unfortunately there are no colleges located in the north area of the city would you like to try another area of town ||| sfortunatament m'hemm l ebda żona kulleġġjali tal belt li tixtieq tipprova żona oħra ta' belt
there are none available do you have another attraction ||| m'hemmx disponibbli attrazzjoni oħra
there are no entertainment attractions in the centre of town would you like to look in a different area ||| ma hemm l ebda kura li tixtieq tħares lejha f'qasam differenti
i am sorry but there is nothing matching your request would you like to try another part of town or type of attraction ||| jien kuntenti iżda m'hemm xejn li jaqbel mat talba tiegħek li tixtieq tipprova parti oħra ta' belt jew tip ta' attrazzjoni
i am sorry i do not see any museums in the centre of town ||| jien ma nara l ebda riċetta
im sorry there are no listings for cambridge college in the centre area is there another college you would like me to look for ||| għalkemm m'hemm l ebda elenkar għall qasam tal kulleġġ ta' l ispettaklu , hemm kulleġġ ieħor li tixtieq inħares għalih .
unfortunately there are no multiple sports attractions in the area you specified is there some other type of attraction or area i can look into for you ||| sfortunatament m'hemmx attrazzjonijiet sportivi multipli fiż żona speċifikata hemm xi tip ieħor ta' attrazzjoni jew żona oħra li tista' tieħu ħsieb għalik
theres nothing matching that criteria do you want to search in a different area ||| ma hemm xejn li jaqbel ma' dak il kriterju li trid tfittex f'żona differenti
there are no colleges in the south could i find something else for you ||| m'hemm l ebda kulleġġ li jista' jsib xi ħaġa għalik
there is nothing that is in the entertainment category in the centre of town can i try something else ||| l ebda ħaġa li tinsab fid divertiment ma tista' tipprova xi ħaġa
im sorry there are no theatres in the east ||| m'hemm l ebda pniezel
my system is not pulling up any nightclub attractions in the west is there another attraction type or area you would be interested in searching ||| is sistema tiegħi mhijiex qed tiċċelebra kwalunkwe bil lejl , iżda hemm tip ieħor ta' attrazzjoni jew żona oħra li tkun interessat li tiċċelebra
there arent any cinemas in the general area but what types of sports are you interested in ||| għad hemm xi ċinema fil qasam ġenerali iżda liema tipi ta' sports huma interessati
i cannot find any multiple sports attractions in the west is there another area i can check ||| i cannot find any multiple sports is there another area i can check
im sorry there are no entertainment attractions listed in the centre of cambridge would you like to search for something different ||| l ebda persuna ma tista' tfittex għal xi ħaġa differenti .
unfortunately im not seeing any ||| b'xorti ħażina ma tistax
im sorry i do not have any multiple sports locations in the centre of town ||| m'għandhomx sports multiplu
sorry i got no results for entertainment in centre is there something else i can look for ||| l ebda riżultat għad divertiment ma jista' jkun hemm xi ħaġa oħra .
there are no cinemas located in the west part of town would you like me to look for cinemas in another area or a different type of attraction in the west ||| ma hemm l ebda ċinema fil Punent
im sorry but i dont have any concert halls in the west part of town ||| iżda l I dont għandhom xi ħaġa miftiehma
i cant find any entertainment venues in the centre would you like to try something different a museum perhaps ||| issib xi forom ta' divertiment
unfortunately i dont happen to see any architecture attractions in that area of town can i find something else for you ||| sfortunatament jidher li kwalunkwe attrazzjoni arkitettura f'dik iż żona tal belt tista' ssib xi ħaġa għalik
unfortunately there is no good architecture on the west end but i can look in other parts of town if you want ||| sfortunatament m'hemm l ebda arkitettura tajba iżda nista' nħares lejn partijiet oħra tal belt jekk tixtieq
there are no colleges in the east would you like to try a different area ||| ma hemm l ebda kulleġġ li tixtieq tipprova żona differenti
unfortunately there are no entertainment attractions in the centre of town is there a different area of town that would work for you ||| b'xorti ħażina m'hemm l ebda divertiment f'żona ta' belt differenti li taħdem għalik
there are no colleges close to the area you are requesting would you like to chose another destination ||| ma hemm l ebda kulleġġ viċin iż żona li qed titlob , li tixtieq tagħżel destinazzjoni oħra
im sorry there are no entertainment attractions in the centre of town is there anything else i can assist you with today ||| f'każ li ma jkun hemm l ebda divertiment , ħadd ma jista' jassisti miegħek .
there are unfortunately no multiple sports attractions in the centre would you like me to search other areas for the multiple sports attraction ||| sfortunatament m'hemm l ebda attrazzjoni fuq l isport multiplu
there are none would you like to try a different area ||| l ebda ħaġa ma tixtieq tipprova żona differenti
i apologize i am unable to locate any colleges in the east would you like to try another area ||| jien ma nistax nispjega kwalunkwe kulleġġ li tixtieq tipprova taqsima oħra
there are no sports places in the centre of town ||| ma hemm l ebda sport
i am sorry but i rechecked and there are no colleges in that area is there anything else that i can do for you ||| jien miżżewweġ iżda miżżewweġ u ma hemm l ebda kulleġġ f'dak il qasam hemm xi ħaġa li nista' nagħmel għalik
there are no college s in that part of town ||| ma hemm l ebda kulleġġ f'dik il parti tal belt
unfortunately i dont have any listings for concert halls on the east side can i check another area of town for you ||| sfortunatament għandek kwalunkwe elenkar għal kunċerti miftiehma jista' jikkontrolla żona oħra ta' belt għalik
