i dont have anything with that criteria can we try a different area ||| i dont have anything with that criteria can we try a different area
unfortunately there are no guesthouses that fit that description ||| sfortunatament m'hemm l ebda mħażen li jidħlu f'dik id deskrizzjoni
i am sorry but i do not have any hotels in the east would you like to change location or type of accomodations ||| jien miżżewweġ iżda m'għandekx xi ħaġa li tixtieq tibdel il post jew it tip ta' akkomodazzjonijiet
im afraid there arent any in the centre part of town would you like to try a different part of town ||| il parti ċentrali tal belt tkun tixtieq tipprova parti differenti tal belt
unfortunately there is no hotel in the moderately priced area ||| sfortunatament m'hemm l ebda żona baxxa
im sorry but there are no expensive 0star hotels in the area can i help you find something else ||| tista' tgħin biex issib xi ħaġa oħra
i unfortunately wasnt able to find anything that matches your request shall we look for a hotel thats a bit more expensive ||| b'xorti ħażina nistgħu insibu xi ħaġa li taqbel mat talba tiegħek għandna nħarsu lejn xi ħaġa li tkun ħaġa iktar għolja
i was not able to find any hotels matching that requirement is there something else you would like to try ||| ma kienx kapaċijsib xi ħaġa li taqbel ma' dak ir rekwiżit hemm xi ħaġa li tixtieq tipprova
i dont have anything in that area can i look somewhere else ||| i dont għandha kwalunkwe ħaġa f'dak il qasam li tista' tħares lejha .
i do not have 4 or 5 star hotels in that area can i try something else ||| i do not have 4 in that area can i try something else
sorry there are no guesthouse type expensive places with free parking perhaps youd prefer a different type or price range ||| għalkemm m'hemm l ebda post għall ipparkjar ħieles , forsi jkun hemm bżonn ta' tip jew firxa ta' prezzijiet differenti .
there are no cheap hotels available with 3 stars and free parking do you want to try a different price range ||| ma hemm l ebda stilla baxxa u l ipparkjar ħieles irid jipprova firxa ta' prezzijiet differenti .
i dont have any expensive guesthouses listed would you like to try a different price range or a hotel instead ||| i dont għandek kwalunkwe spiża elenkata tixtieq tipprova medda ta' prezzijiet differenti jew lukanda minflok
im sorry there are no hotels meeting your requirements ||| ma hemm l ebda lukanda li tissodisfa r rekwiżiti tiegħek
unfortunately there are no expensive hotels in the north i could check another area if you would like ||| sfortunatament m'hemm l ebda spiża li tista' tiċċekkja żona oħra jekk tixtieq
i am terribly sorry no guesthouses are available how about a hotel stay instead ||| jien terribli nibqa' l ebda kamra minflok
there are no expensive hotels in the area could we look at a moderately priced one ||| ma hemm l ebda spiża fil qasam li nistgħu nħarsu lejha b'mod moderat .
sorry im not finding anything want to change to a hotel ||| il Ġermanja ma tistax issib xi ħaġa li trid tibdel għal xi Ħadd
sorry i dont see any listings that match your search would you like to change price range or type ||| i dont ara kwalunkwe elenkar li jaqbel mat tfittxija tiegħek tixtieq tibdel il medda tal prezzijiet jew it tip
